"","var","Estimate","2.5 %","97.5 %","Std. Error","z value","Pr(>|z|)","std_coef"
"1","SpeciesRaccoon:Temperature",4.29685449038515,2.37015340690684,7.26026816030304,1.18257128488661,3.63348454786567,0.000279619200073956,3.97803452377285
"2","SpeciesRaccoon",-73.3048848676936,-124.918233551059,-39.2485487581707,20.944498589467,-3.49995892976682,0.000465329845786872,-3.90248571856076
"3","Elevation:Imperviousness",-0.000265443722661868,-0.000439886347530964,-0.000125478989215815,0.0000793248396033222,-3.34628754358996,0.000819014158535262,-3.85650076355999
"4","lat:Elevation",0.00487317229959691,0.00249650393453766,0.00786812661159284,0.00134974517348731,3.61043876675341,0.000305679463508747,3.72090818825635
"5","Elevation",-0.158498146406917,-0.26240625615591,-0.0757724490964343,0.0468512216473916,-3.38300989459346,0.000716960491506629,-3.55855538513139
"6","Precipitation",0.00532989879093636,0.00175195996197218,0.00934217469602493,0.00191401864730132,2.78466398352559,0.00535832189767914,3.52070898123933
"7","SpeciesStriped Skunk",-78.5665355532449,-133.088374939278,-41.7943279750693,22.4631984100016,-3.49756673645653,0.000469523223616359,-3.4663961155367
"8","SpeciesStriped Skunk:Temperature",4.74165941557936,2.58942461596722,8.07552796663762,1.33328172796377,3.55638220799814,0.000375996948673346,3.23864830631837
"9","SpeciesStriped Skunk:knn.dist",-0.000160314727392994,-0.000293294029347199,-0.0000843872026886105,0.0000527419396330488,-3.03960621297551,0.00236887657765974,-3.23275638339279
"10","Imperviousness",0.119120156884087,0.0349256350779034,0.213465508196319,0.0449557101932009,2.64972250181696,0.00805579076880045,2.82739851281193
"11","Temperature",-2.76153743753622,-5.86262089461616,-0.571620892668777,1.28708496274273,-2.14557509214582,0.0319068944253963,-2.48958103615598
"12","descriptionDeveloped, Medium Intensity",-6.04146079255462,-11.8222117857123,-0.789230224187445,2.77837693383729,-2.17445686327758,0.0296708416190672,-2.48654804355953
"13","descriptionDeveloped, Low Intensity",-3.66313441565452,-7.44737192016446,-0.114012719086335,1.84746796503373,-1.98278643255806,0.0473912901393323,-2.45429169643386
"14","AgeJuvenile",-8.02764824574765,-13.8457718118325,-2.39898009978314,2.87208244371564,-2.79506191171943,0.00518897768161547,-1.82367902396467
"15","AgeJuvenile:month",0.856084290634937,0.162105449018982,1.57965052298034,0.356133905541866,2.40382698000176,0.0162244501857506,1.73795317404795
"16","month",-0.118358792453917,-0.317998167651394,0.0738705615994036,0.0985375132609359,-1.20115465204092,0.229691216421698,-1.67540569891089
"17","descriptionMixed Forest",16.69947127918,4.56976996836837,39.2809941163987,10.4653109889241,1.59569756664219,0.110556332185919,1.55753835262007
"18","lat",0.569103842487729,-0.41371549985184,1.64241737394205,0.517026667721955,1.10072434947162,0.271016645401776,1.4144297258384
"19","SpeciesRaccoon:knn.dist",-0.0000255021099406928,-0.0000828277675169986,0.0000373338367648423,0.0000292765799563217,-0.871075445927765,0.383712959960148,-1.18270494944681
"20","descriptionEvergreen Forest",-3.95826170987902,-10.2537435905014,1.26841267334079,3.05073879478126,-1.29747643969068,0.194467306495182,-1.12189201965586
"21","descriptionDeveloped, Open Space",-0.695672218497296,-3.31330584446608,1.88606284392667,1.3037185858581,-0.533606121783874,0.593614071932648,-0.569712204856108
"22","(Intercept)",21.3032896027211,-49.1477896889274,98.1398079907539,36.9366899908908,0.576751452498175,0.564107369166405,0.520499218403175
"23","SpeciesRed Fox",-102.013767077306,-103.62864245211,-100.372130726946,87.0670384905093,-1.17166919704551,0.241329894555808,-0.513781131375071
"24","descriptionDeveloped, High Intensity",-3.15043376966016,-11.5118864603455,4.86591824272162,4.13097000610091,-0.762637773938658,0.445679450386854,-0.511830442154959
"25","SpeciesRed Fox:Temperature",4.95678417073869,4.83616312272955,5.07622239862242,6.42079153013979,0.771989582198875,0.440120597731775,0.467403183239418
"26","descriptionDeciduous Forest",-0.419125324388895,-3.55562769461442,2.76662377685284,1.58458527037316,-0.264501590558263,0.791393439353366,-0.347283443638967
"27","descriptionPasture/Hay",12.4909886902487,0.790716260840739,6.34399175145466,17.4385801457466,0.716284731087772,0.473815552975118,0.183449425606862
"28","AgeSubadult:month",-3.25319651856179,-9.24063972710412,-0.157312274410115,3.94384920295142,-0.824878526320741,0.409440558779474,-0.156986619138127
"29","AgeSubadult",32.3647405062472,1.31287225476577,97.0145010157621,43.0138924046922,0.75242529092105,0.451795342094175,0.147525749414789
"30","descriptionWoody Wetlands",-3.24403437193291,-8.40186337894641,1.31870608205283,2.40026352467543,-1.35153258739437,0.176524888346403,0.143005709541826
"31","knn.dist",-0.00000113305146293994,-0.0000644757393241374,0.0000547171452663187,0.000028893386940149,-0.0392149063481894,0.96871904923083,0.121688495315711
"32","SpeciesRed Fox:knn.dist",0.000001674484289391,-0.00000103111332835032,0.00000438974349574406,0.000139186256939091,0.0120305289201345,0.990401258260341,-0.0787144061284971
"33","descriptionGrassland/Herbaceous",-24.3637404446309,-1154.67306410194,176.291730995637,3956.1979117997,-0.00615837250506705,0.995086360717301,-0.0020567239928438
"34","descriptionOpen Water",15.0873391737254,-376.434966352481,NA,2796.82759894045,0.00539444733005391,0.995695874636348,0.00137575047603334
"35","descriptionScrub/Shrub",17.2658442465766,-781.423000810615,NA,3956.18060948699,0.00436427098529649,0.996517826615754,0.00111194627580445
"36","descriptionEmergent Herbaceous Wetlands",-15.1970554828985,NA,782.387351101003,3956.18061048603,-0.00384134522135266,0.996935057492852,-0.00102650743151958
